## Generation 0 
{'pos_end_effector': array([-0.92587061,  2.39806943]), 'dist_end_effector': -2.627639799333319, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.84424714, 1.16653145]), 'dist_end_effector': -4.017341368628282, 'collision': False}
{'pos_end_effector': array([1.84911829, 2.69368128]), 'dist_end_effector': -4.69804538085177, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.61663466, -1.37674685]), 'dist_end_effector': -1.9516996606867223, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.36808492, -0.37287999]), 'dist_end_effector': -1.6739732122163724, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.3334699 , 0.17948099]), 'dist_end_effector': -2.340362194239935, 'collision': False}
{'pos_end_effector': array([0.83358079, 1.47527039]), 'dist_end_effector': -3.1946209202163725, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.83165189,  2.17533184]), 'dist_end_effector': -2.469231846060794, 'collision': False}
{'pos_end_effector': array([ 2.06651247, -3.56949038]), 'dist_end_effector': -5.410895051240336, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.11707508, 0.18309606]), 'dist_end_effector': -4.121144426879701, 'collision': False}
{'pos_end_effector': array([-0.75660647,  3.54852448]), 'dist_end_effector': -3.7600602968239962, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.90353862, -3.26250994]), 'dist_end_effector': -3.263935645330886, 'collision': False}
{'pos_end_effector': array([-0.01065187,  0.5618602 ]), 'dist_end_effector': -2.0671702521681783, 'collision': False}
{'pos_end_effector': array([ 5.91245894, -2.50049707]), 'dist_end_effector': -8.29816196805576, 'collision': False}
{'pos_end_effector': array([ 2.42186431, -1.52996818]), 'dist_end_effector': -4.679068987650223, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.79963826, -0.91317582]), 'dist_end_effector': -1.50823022195387, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.15316661, 1.18601692]), 'dist_end_effector': -3.3688419127265212, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.00489711, -0.70944915]), 'dist_end_effector': -3.087511087664897, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
## Generation 1 
{'pos_end_effector': array([ 1.94461306, -1.28579569]), 'dist_end_effector': -4.148884522202766, 'collision': False}
{'pos_end_effector': array([0.95677367, 2.59028967]), 'dist_end_effector': -3.9309173364672554, 'collision': False}
{'pos_end_effector': array([-1.02953788,  1.23130437]), 'dist_end_effector': -1.567771408096974, 'collision': False}
{'pos_end_effector': array([ 0.55712184, -1.16816023]), 'dist_end_effector': -2.8113111617951003, 'collision': False}
{'pos_end_effector': array([3.5778242 , 1.58763304]), 'dist_end_effector': -5.799370778327037, 'collision': False}
{'pos_end_effector': array([-0.53782506,  1.79203929]), 'dist_end_effector': -2.3128684304797167, 'collision': False}
{'pos_end_effector': array([-0.23288757, -6.73718014]), 'dist_end_effector': -6.965075920696616, 'collision': False}
{'pos_end_effector': array([-0.37702483, -3.21781465]), 'dist_end_effector': -3.6039394450088493, 'collision': False}
{'pos_end_effector': array([-2.56743755,  1.14474841]), 'dist_end_effector': -1.2776675194080733, 'collision': False}
{'pos_end_effector': array([-0.18917997,  2.25610944]), 'dist_end_effector': -2.8929395040535923, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.75660647,  3.54852448]), 'dist_end_effector': -3.7600602968239962, 'collision': False}
{'pos_end_effector': array([1.82872442, 1.44996416]), 'dist_end_effector': -4.0940843650671415, 'collision': False}
{'pos_end_effector': array([0.83358079, 1.47527039]), 'dist_end_effector': -3.1946209202163725, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-2.26256835,  5.57895391]), 'dist_end_effector': -5.585129258407049, 'collision': False}
{'pos_end_effector': array([-0.38997581, -3.21471024]), 'dist_end_effector': -3.5953497500026996, 'collision': False}
{'pos_end_effector': array([-1.29333848,  2.30254386]), 'dist_end_effector': -2.4085428638130884, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.40573086, -0.70117214]), 'dist_end_effector': -3.477160484381328, 'collision': False}
